SUBZONE_N,PLN_AREA_N,REGION_N,Age_0to6,Age_20to29,Age_over85,HDB_AV_E,HDB_AV_2rm,HDB_AV_1rm,House_AV,Condo_AV,EC_AV,Apart_AV,e12k_Over,DP,FDW,WP,stud_lprim,stud_jcoll,VariableX,Y
LORONG 8 TOA PAYOH,TOA PAYOH,CENTRAL REGION,331,1001,182,0,0,0,0,0,0,0,121,20,299,467,138,31,768,3136
TOH GUAN,JURONG EAST,WEST REGION,852,2583,110,106803,0,0,0,0,0,0,636,85,618,542,435,98,805,3776
BRADDELL,TOA PAYOH,CENTRAL REGION,605,1439,286,67693,0,0,0,49808,0,0,529,223,560,470,260,46,863,4817
BIDADARI,TOA PAYOH,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893,720
WOODLEIGH,TOA PAYOH,CENTRAL REGION,223,358,39,0,0,0,60427,73001,0,60006,290,347,337,181,82,27,829,1840
TAMAN JURONG,JURONG WEST,WEST REGION,2932,5454,159,128171,7201,7201,0,193709,59206,56417,1219,929,1465,3473,1226,199,485,7376
LAKESIDE,JURONG EAST,WEST REGION,14,153,13,0,0,0,0,0,0,57017,51,0,62,964,16,0,896,3346
TOA PAYOH WEST,TOA PAYOH,CENTRAL REGION,626,1727,376,0,5116,5116,0,29109,0,303090,679,273,977,943,251,36,672,5365
DEFU INDUSTRIAL PARK,HOUGANG,NORTH-EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,0,0,838,2656
GUILIN,BUKIT BATOK,WEST REGION,712,1806,133,37385,0,0,0,231413,0,22209,692,536,517,466,348,86,746,4447
MARYMOUNT,BISHAN,CENTRAL REGION,1872,5069,260,177574,0,0,486192,233315,0,43318,2383,382,2173,318,799,332,625,8803
WENYA,JURONG WEST,WEST REGION,876,853,43,21366,0,0,0,0,0,0,97,41,213,593,423,0,860,6066
NATURE RESERVE,BUKIT PANJANG,WEST REGION,316,559,10,0,0,0,133515,182863,0,0,590,303,459,86,106,62,580,2245
TAMPINES EAST,TAMPINES,EAST REGION,8429,22688,1123,620372,7661,7661,0,0,185542,72010,2840,1633,4783,5658,3326,274,0,26885
KAKI BUKIT,BEDOK,EAST REGION,2143,6565,379,192157,2417,2417,116013,19696,0,68102,741,377,1271,17226,798,53,168,11264
YUHUA EAST,JURONG EAST,WEST REGION,1162,3650,402,117494,0,0,0,0,48009,87610,467,332,860,1967,531,66,739,5812
BUKIT BATOK SOUTH,BUKIT BATOK,WEST REGION,1081,2580,36,117498,0,0,0,0,0,53414,662,223,636,3257,404,102,621,4603
JURONG WEST CENTRAL,JURONG WEST,WEST REGION,5358,8752,107,480608,0,0,0,56204,0,0,1416,304,1996,4977,2642,131,288,11345
BEDOK RESERVOIR,BEDOK,EAST REGION,1943,3431,212,65897,0,0,52200,403293,0,0,1830,1560,1729,857,838,170,352,12411
ANAK BUKIT,BUKIT TIMAH,CENTRAL REGION,1334,3483,336,39499,2708,2708,1117482,374137,0,316885,2929,1070,2693,748,659,266,714,4747
SWISS CLUB,BUKIT TIMAH,CENTRAL REGION,452,737,135,0,0,0,1229978,80018,0,115373,1040,720,1338,124,182,89,876,2070
XILIN,TAMPINES,EAST REGION,78,349,0,0,0,0,0,78805,0,19412,244,1507,175,534,43,28,860,8383
SIMEI,TAMPINES,EAST REGION,2553,6503,375,31118,0,0,394163,492168,81909,186880,3173,2634,3230,874,1119,229,553,17473
BOON LAY PLACE,JURONG WEST,WEST REGION,2751,4209,209,0,0,0,0,0,91203,0,245,240,687,3276,1007,59,682,9139
BUKIT BATOK EAST,BUKIT BATOK,WEST REGION,608,1943,86,32043,0,0,0,0,0,0,79,251,237,544,295,5,604,5065
BUKIT BATOK WEST,BUKIT BATOK,WEST REGION,1091,2293,169,117481,0,0,0,0,0,0,236,149,387,609,457,39,404,4608
