,BUILDING_N,longitude,latitude,HOUSE_BLK_NO,ROAD_NAME,POSTAL_CODE,address
56,GERMAN EUROPEAN SCHOOL (MAIN CAMPUS),103.792071,1.344889,72,BUKIT TINGGI ROAD,289760.0,
57,GERMAN EUROPEAN SCHOOL SINGAPORE (PRIMARY SCHOOL CAMPUS),103.768095,1.346069,300,JALAN JURONG KECHIL,598668.0,
58,GEYLANG METHODIST SCHOOL (PRIMARY),103.883846,1.317591,4,GEYLANG EAST CENTRAL,389706.0,4 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (PRIMARY) SINGAPORE 389706
59,GEYLANG METHODIST SCHOOL (SECONDARY),103.882673,1.317671,2,GEYLANG EAST CENTRAL,389705.0,2 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (SECONDARY) SINGAPORE 389705
60,GLOBAL INDIAN INTERNATIONAL SCHOOL (BALESTIER CAMPUS),103.852811,1.328632,51,JALAN RAJAH,329154.0,51 JALAN RAJAH GLOBAL INDIAN INTERNATIONAL SCHOOL (BALESTIER CAMPUS) SINGAPORE 329154
61,GLOBAL INDIAN INTERNATIONAL SCHOOL (BALESTIER CAMPUS),103.852811,1.328632,51,JALAN RAJAH,329154.0,51 JALAN RAJAH GLOBAL INDIAN INTERNATIONAL SCHOOL (BALESTIER CAMPUS) SINGAPORE 329154
62,GLOBAL INDIAN INTERNATIONAL SCHOOL (QUEENSTOWN CAMPUS),103.801971,1.293542,3,MEI CHIN ROAD,149254.0,
63,GLOBAL INDIAN INTERNATIONAL SCHOOL (QUEENSTOWN CAMPUS),103.80122,1.291901,3,MEI CHIN ROAD,149254.0,
64,GUANGYANG PRIMARY SCHOOL,103.849453,1.34569,6,BISHAN STREET 12,579806.0,6 BISHAN STREET 12 GUANGYANG PRIMARY SCHOOL SINGAPORE 579806
65,GUANGYANG SECONDARY SCHOOL,103.850209,1.344409,8,BISHAN STREET 12,579807.0,8 BISHAN STREET 12 GUANGYANG SECONDARY SCHOOL SINGAPORE 579807
66,HAIG GIRLS' SCHOOL (U/C),103.902903,1.311943,51,KOON SENG ROAD,427072.0,51 KOON SENG ROAD HAIG GIRLS' SCHOOL (U/C) SINGAPORE 427072
67,HENRY PARK PRIMARY SCHOOL,103.784296,1.316676,1,HOLLAND GROVE ROAD,278790.0,1 HOLLAND GROVE ROAD HENRY PARK PRIMARY SCHOOL SINGAPORE 278790
68,HOLLANDSE SCHOOL,103.789916,1.345741,65,BUKIT TINGGI ROAD,289757.0,65 BUKIT TINGGI ROAD HOLLANDSE SCHOOL SINGAPORE 289757
69,HONG WEN SCHOOL,103.857627,1.321763,30,TOWNER ROAD,327829.0,30 TOWNER ROAD HONG WEN SCHOOL SINGAPORE 327829
70,HWA CHONG INSTITUTION,103.805704,1.324948,,,,673 BUKIT TIMAH ROAD HWA CHONG INSTITUTION SINGAPORE 269735
71,HWA CHONG INSTITUTION BOARDING SCHOOL,103.801479,1.325075,673,BUKIT TIMAH ROAD,269735.0,673 BUKIT TIMAH ROAD HWA CHONG INSTITUTION BOARDING SCHOOL SINGAPORE 269735
72,HWA CHONG INTERNATIONAL SCHOOL,103.801035,1.326189,663,BUKIT TIMAH ROAD,269783.0,663 BUKIT TIMAH ROAD HWA CHONG INTERNATIONAL SCHOOL SINGAPORE 269783
73,ISS INTERNATIONAL SCHOOL (ELEMENTARY & MIDDLE SCHOOL CAMPUS),103.830235,1.30191,25A,PATERSON ROAD,238511.0,25A PATERSON ROAD ISS INTERNATIONAL SCHOOL (ELEMENTARY & MIDDLE SCHOOL CAMPUS) SINGAPORE 238511
74,ISS INTERNATIONAL SCHOOL (PRESTON CAMPUS),103.805691,1.280633,21,PRESTON ROAD,109355.0,21 PRESTON ROAD ISS INTERNATIONAL SCHOOL (PRESTON CAMPUS) SINGAPORE 109355
75,KHENG CHENG SCHOOL,103.847425,1.336647,15,LORONG 3 TOA PAYOH,319580.0,15 LORONG 3 TOA PAYOH KHENG CHENG SCHOOL SINGAPORE 319580
76,KONG HWA SCHOOL,103.887896,1.310789,350,GUILLEMARD ROAD,399772.0,350 GUILLEMARD ROAD KONG HWA SCHOOL SINGAPORE 399772
77,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,103.855018,1.349398,8,BISHAN STREET 13,579793.0,8 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 579793
78,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,103.855018,1.349398,8,BISHAN STREET 13,579793.0,8 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 579793
79,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,103.855365,1.350076,10,BISHAN STREET 13,579795.0,10 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL SINGAPORE 579795
80,LEE KONG CHIAN SCHOOL OF MEDICINE (NOVENA CAMPUS),103.848864,1.32162,11,MANDALAY ROAD,308232.0,11 MANDALAY ROAD LEE KONG CHIAN SCHOOL OF MEDICINE (NOVENA CAMPUS) SINGAPORE 308232
81,LIGHTHOUSE SCHOOL,103.84078,1.338814,51,TOA PAYOH RISE,298106.0,51 TOA PAYOH RISE LIGHTHOUSE SCHOOL SINGAPORE 298106
82,LORNA WHISTON PRE-SCHOOL,103.794457,1.285708,9,WINCHESTER ROAD,117783.0,9 WINCHESTER ROAD LORNA WHISTON PRE-SCHOOL SINGAPORE 117783
83,MACPHERSON PRIMARY SCHOOL,103.881625,1.324392,2,MATTAR ROAD,387724.0,
84,MAHA BODHI SCHOOL,103.901299,1.328471,10,UBI AVENUE 1,408931.0,10 UBI AVENUE 1 MAHA BODHI SCHOOL SINGAPORE 408931
85,MANJUSRI SECONDARY SCHOOL,103.90172,1.327471,20,UBI AVENUE 1,408940.0,20 UBI AVENUE 1 MANJUSRI SECONDARY SCHOOL SINGAPORE 408940
86,MARYMOUNT CONVENT SCHOOL,103.843232,1.340215,,,,20 MARYMOUNT ROAD MARYMOUNT CONVENT SCHOOL SINGAPORE 297754
87,MARYMOUNT CONVENT SCHOOL (U/C),103.840021,1.340367,20,MARYMOUNT ROAD,297754.0,
88,MELBOURNE SPECIALIST INTERNATIONAL SCHOOL,103.812438,1.301647,75C,LOEWEN ROAD,248853.0,75C LOEWEN ROAD MELBOURNE SPECIALIST INTERNATIONAL SCHOOL SINGAPORE 248853
89,METHODIST CENTRE (ANGLO-CHINESE SCHOOL (BARKER ROAD)),103.834516,1.319158,70,BARKER ROAD,309936.0,70 BARKER ROAD METHODIST CENTRE (ANGLO-CHINESE SCHOOL (BARKER ROAD)) SINGAPORE 309936
90,METHODIST GIRLS' SCHOOL,103.783393,1.332948,11,BLACKMORE DRIVE,599986.0,11 BLACKMORE DRIVE METHODIST GIRLS' SCHOOL SINGAPORE 599986
91,MINDS - LEE KONG CHIAN GARDENS SCHOOL,103.8133,1.294697,800,MARGARET DRIVE,149310.0,800 MARGARET DRIVE MINDS - LEE KONG CHIAN GARDENS SCHOOL SINGAPORE 149310
92,MOE SCHOOL CLUSTER CENTRE,103.809676,1.287995,5,HOY FATT ROAD,159505.0,5 HOY FATT ROAD MOE SCHOOL CLUSTER CENTRE SINGAPORE 159505
93,MOUNTBATTEN VOCATIONAL SCHOOL,103.879755,1.30787,225,MOUNTBATTEN ROAD,397997.0,225 MOUNTBATTEN ROAD MOUNTBATTEN VOCATIONAL SCHOOL SINGAPORE 397997
94,NANYANG GIRLS' HIGH SCHOOL,103.802385,1.330688,2,LINDEN DRIVE,288683.0,2 LINDEN DRIVE NANYANG GIRLS' HIGH SCHOOL SINGAPORE 288683
95,NANYANG GIRLS' HIGH SCHOOL BOARDING HOUSE,103.800662,1.331671,21,LINDEN DRIVE,288735.0,
96,NANYANG PRIMARY SCHOOL,103.80775,1.320847,52,KING'S ROAD,268097.0,51 CORONATION ROAD NANYANG PRIMARY SCHOOL SINGAPORE 269460
97,NATIONAL JUNIOR COLLEGE BOARDING SCHOOL,103.804634,1.331926,,,,41 HILLCREST ROAD NATIONAL JUNIOR COLLEGE BOARDING SCHOOL SINGAPORE 288916
98,NEW TOWN PRIMARY SCHOOL,103.800102,1.299642,300,TANGLIN HALT ROAD,148812.0,300 TANGLIN HALT ROAD NEW TOWN PRIMARY SCHOOL SINGAPORE 148812
99,NEW TOWN SECONDARY SCHOOL,103.773189,1.309776,1020,DOVER ROAD,139657.0,1020 DOVER ROAD NEW TOWN SECONDARY SCHOOL SINGAPORE 139657
100,NEXUS INTERNATIONAL SCHOOL,103.775713,1.319259,201,ULU PANDAN ROAD,596468.0,1 ALJUNIED WALK NEXUS INTERNATIONAL SCHOOL (SINGAPORE) SINGAPORE 387293
101,NGEE ANN PRIMARY SCHOOL,103.917463,1.305525,344,MARINE TERRACE,449149.0,344 MARINE TERRACE NGEE ANN PRIMARY SCHOOL SINGAPORE 449149
102,NORTHLIGHT SCHOOL,103.85576,1.3191,151,TOWNER ROAD,327830.0,151 TOWNER ROAD NORTHLIGHT SCHOOL SINGAPORE 327830
103,OUTRAM SECONDARY SCHOOL,103.837127,1.286514,3,YORK HILL,168622.0,3 YORK HILL OUTRAM SECONDARY SCHOOL SINGAPORE 168622
104,OVERSEAS FAMILY SCHOOL,103.831933,1.301153,25F,PATERSON ROAD,238515.0,81 PASIR RIS HEIGHTS OVERSEAS FAMILY SCHOOL SINGAPORE SINGAPORE 519292
105,PEI CHUN PUBLIC SCHOOL (U/C),103.855632,1.337334,,,,
106,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,103.776108,1.338055,7,PEI WAH AVENUE,597610.0,7 PEI WAH AVENUE PEI HWA PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 597610
107,PEIRCE SECONDARY SCHOOL,103.830216,1.366659,10,SIN MING WALK,575566.0,10 SIN MING WALK PEIRCE SECONDARY SCHOOL SINGAPORE 575566
108,QUEENSTOWN PRIMARY SCHOOL,103.807549,1.295594,310,MARGARET DRIVE,149303.0,310 MARGARET DRIVE QUEENSTOWN PRIMARY SCHOOL SINGAPORE 149303
109,QUEENSTOWN SECONDARY SCHOOL,103.813191,1.293521,1,STRATHMORE ROAD,148800.0,1 STRATHMORE ROAD QUEENSTOWN SECONDARY SCHOOL SINGAPORE 148800
110,QUEENSWAY SECONDARY SCHOOL,103.802207,1.300223,2A,MARGARET DRIVE,149295.0,2A MARGARET DRIVE QUEENSWAY SECONDARY SCHOOL SINGAPORE 149295
111,RAFFLES GIRLS' PRIMARY SCHOOL,103.806443,1.329404,21,HILLCREST ROAD,289072.0,21 HILLCREST ROAD RAFFLES GIRLS' PRIMARY SCHOOL SINGAPORE 289072
