BUILDING_N,HOUSE_BLK_NO,ROAD_NAME,POSTAL_CODE
TANJONG KATONG GIRLS' SCHOOL,20,DUNMAN LANE,439272
ETONHOUSE BROADRICK INTERNATIONAL SCHOOL & PRE-SCHOOL,51,BROADRICK ROAD,439501
NGEE ANN PRIMARY SCHOOL,344,MARINE TERRACE,449149
TAO NAN SCHOOL,49,MARINE CRESCENT,449761
BARTLEY SECONDARY SCHOOL,10,JALAN BUNGA RAMPAI,538403
MARIS STELLA HIGH SCHOOL,80,BARTLEY ROAD,539786
BISHAN PARK SECONDARY SCHOOL,2,SIN MING WALK,575565
PEIRCE SECONDARY SCHOOL,10,SIN MING WALK,575566
AI TONG SCHOOL,100,BRIGHT HILL DRIVE,579646
WHITLEY SECONDARY SCHOOL,30,BISHAN STREET 24,579747
CATHOLIC HIGH SCHOOL,9,BISHAN STREET 22,579767
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8,BISHAN STREET 13,579793
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL (U/C),8,BISHAN STREET 13,579793
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10,BISHAN STREET 13,579795
GUANGYANG PRIMARY SCHOOL,6,BISHAN STREET 12,579806
GUANGYANG SECONDARY SCHOOL,8,BISHAN STREET 12,579807
NEXUS INTERNATIONAL SCHOOL,201,ULU PANDAN ROAD,596468
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7,PEI WAH AVENUE,597610
BUKIT TIMAH PRIMARY SCHOOL,111,LORONG KISMIS,598112
GERMAN EUROPEAN SCHOOL SINGAPORE (PRIMARY SCHOOL CAMPUS),300,JALAN JURONG KECHIL,598668
METHODIST GIRLS' SCHOOL,11,BLACKMORE DRIVE,599986
